ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status,Urea_per_ha,NPK_per_ha,Organik_per_ha,Total_per_ha,Total_MT1,Total_MT2,Total_MT3,Urea_Label,Urea_Median,Urea_Lower_Bound,Urea_Upper_Bound,NPK_Label,NPK_Median,NPK_Lower_Bound,NPK_Upper_Bound,Organik_Label,Organik_Median,Organik_Lower_Bound,Organik_Upper_Bound,Overall_Status,Anomaly_Prediction,Anomaly_Label,Anomaly_Score,Anomaly_Severity,Underuse_Statistik_Urea,Underuse_Statistik_NPK,Underuse_Statistik_Organik,Underuse_Statistik
P014,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,125,175,0,5000,125,175,0,300,0.5,Normal,Normal,Normal,0.0,125.0,0.0,175.0,0.0,500.0,Normal,250.0,350.0,0.0,600.0,0,0,300,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P015,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,70,98,0,2800,70,98,0,168,0.28,Normal,Normal,Normal,0.0,70.0,0.0,98.00000000000001,0.0,280.0,Normal,249.99999999999997,349.99999999999994,0.0,599.9999999999999,0,0,168,Underuse,250.0,250.0,250.0,Underuse,350.0,350.0,350.0,Normal,,,,Underuse,1,Normal,0.0,Normal,False,False,False,False
P016,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,120,168,0,4800,120,168,0,288,0.48,Normal,Normal,Normal,0.0,120.0,0.0,168.0,0.0,480.0,Normal,250.0,350.0,0.0,600.0,0,0,288,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P017,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,80,112,0,3200,80,112,0,192,0.32,Normal,Normal,Normal,0.0,80.0,0.0,112.0,0.0,320.0,Normal,250.0,350.0,0.0,600.0,0,0,192,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P018,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,170,238,0,6800,170,238,0,408,0.68,Normal,Normal,Normal,0.0,170.0,0.0,238.00000000000003,0.0,680.0,Normal,249.99999999999997,350.0,0.0,600.0,0,0,408,Underuse,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Underuse,1,Normal,0.0,Normal,False,False,False,False
P019,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,100,140,0,4000,100,140,0,240,0.4,Normal,Normal,Normal,0.0,100.0,0.0,140.0,0.0,400.0,Normal,250.0,350.0,0.0,600.0,0,0,240,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P020,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,60,84,0,60,84,0,60,84,0,7200,180,252,0,432,0.72,Normal,Normal,Normal,0.0,180.0,0.0,252.0,0.0,720.0,Normal,250.0,350.0,0.0,600.0,144,144,144,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P021,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,50,70,0,50,70,0,50,70,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal,250.0,350.0,0.0,600.0,120,120,120,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P022,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,JAGUNG,0,0,0,0,0,0,50,70,0,2000,50,70,0,120,0.2,Normal,Normal,Normal,0.0,50.0,0.0,70.0,0.0,200.0,Normal,250.0,350.0,0.0,600.0,0,0,120,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P023,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,20,24,0,20,24,0,30,36,0,2800,70,84,0,154,0.28,Normal,Normal,Normal,0.0,70.0,0.0,84.00000000000001,0.0,280.0,Normal,249.99999999999997,299.99999999999994,0.0,549.9999999999999,44,44,66,Underuse,250.0,250.0,250.0,Underuse,300.0,300.0,300.0,Normal,,,,Underuse,1,Normal,0.10057477536018733,Normal,False,True,False,True
